epoch,accuracy,iou_score,loss,val_accuracy,val_iou_score,val_loss
0,0.33067020773887634,0.3038197159767151,2.9268665313720703,0.522418737411499,0.3161963224411011,1.6423999071121216
1,0.5586703419685364,0.3343200981616974,1.5122275352478027,0.6083033680915833,0.32882073521614075,1.3354130983352661
2,0.6374251246452332,0.35309338569641113,1.1924668550491333,0.6612817645072937,0.34548455476760864,1.0847487449645996
3,0.6746897101402283,0.3749399185180664,1.0662187337875366,0.7169243097305298,0.3779515027999878,0.9509378671646118
4,0.6660407781600952,0.36725226044654846,1.1162034273147583,0.6508775353431702,0.3669963479042053,1.2146254777908325
5,0.7241967916488647,0.3904396593570709,0.9393426775932312,0.6996203660964966,0.35774192214012146,1.0719348192214966
6,0.7411258220672607,0.4019618332386017,0.9011213183403015,0.7728276252746582,0.39508575201034546,0.8029181957244873
7,0.7802606225013733,0.4215351343154907,0.781217634677887,0.7751086354255676,0.4140876829624176,0.7888595461845398
8,0.7866617441177368,0.42823314666748047,0.756887674331665,0.7335716485977173,0.37511005997657776,0.9268347024917603
9,0.7929734587669373,0.4310306906700134,0.7410582900047302,0.7823829650878906,0.4037694036960602,0.7661424279212952
10,0.7989202737808228,0.4333418905735016,0.7160146832466125,0.7513667345046997,0.3655444085597992,0.8687071204185486
11,0.7949184775352478,0.43066030740737915,0.728540301322937,0.8173524737358093,0.41998490691185,0.6484432816505432
12,0.813724935054779,0.4469941258430481,0.6596145033836365,0.8259593844413757,0.43450915813446045,0.615972638130188
13,0.8223219513893127,0.4479803442955017,0.6273131966590881,0.8307653665542603,0.43877333402633667,0.6068704128265381
14,0.8335392475128174,0.4571339786052704,0.5845956206321716,0.8304562568664551,0.4397831857204437,0.612931489944458
15,0.7920408844947815,0.43320032954216003,0.7388614416122437,0.803031861782074,0.4100702404975891,0.6927293539047241
16,0.8234173655509949,0.4485945701599121,0.6249973773956299,0.8276927471160889,0.4405965805053711,0.6009885668754578
17,0.8351333737373352,0.456866055727005,0.5815951228141785,0.8369012475013733,0.44315001368522644,0.5783167481422424
18,0.8435837030410767,0.46313729882240295,0.5453771352767944,0.8460829257965088,0.44653016328811646,0.5547096729278564
19,0.8458076119422913,0.46913498640060425,0.5409213900566101,0.8485166430473328,0.44699639081954956,0.54192054271698
20,0.8512784838676453,0.47466424107551575,0.516385555267334,0.8598976135253906,0.4624675512313843,0.49499794840812683
21,0.8589048981666565,0.4872265160083771,0.48608168959617615,0.8570990562438965,0.47616124153137207,0.5122386813163757
22,0.8626121282577515,0.4905831515789032,0.47132745385169983,0.8491097092628479,0.4608214199542999,0.5216885805130005
23,0.8471806049346924,0.4822232127189636,0.5282739400863647,0.816959023475647,0.43181145191192627,0.6744872331619263
24,0.8445073366165161,0.4752250015735626,0.5443381071090698,0.8477535843849182,0.45671504735946655,0.5380986332893372
25,0.7712299823760986,0.43167123198509216,0.827877938747406,0.8403161764144897,0.4400981068611145,0.5867447853088379
26,0.8433501720428467,0.4713517725467682,0.5437354445457458,0.8538496494293213,0.4615076184272766,0.514267086982727
27,0.8599712252616882,0.49299347400665283,0.4798224866390228,0.8648021221160889,0.48280230164527893,0.4705701470375061
28,0.867184042930603,0.4975026547908783,0.44968631863594055,0.869924008846283,0.48510047793388367,0.46310535073280334
29,0.870518684387207,0.5085038542747498,0.43892568349838257,0.8694179058074951,0.4995051920413971,0.45640847086906433
30,0.8710065484046936,0.510236382484436,0.4352222681045532,0.8701390027999878,0.492275208234787,0.45335665345191956
31,0.8772696852684021,0.5238304138183594,0.41229379177093506,0.8699073791503906,0.49621692299842834,0.4487823247909546
32,0.879742443561554,0.5240623354911804,0.4033147692680359,0.8748297095298767,0.5047991275787354,0.4300103485584259
33,0.8819748163223267,0.5263757109642029,0.3944113254547119,0.874920666217804,0.5093832612037659,0.4392092823982239
34,0.8867554664611816,0.5328062176704407,0.3753482699394226,0.8774398565292358,0.5067512392997742,0.43504634499549866
35,0.8872336745262146,0.5358954668045044,0.374561607837677,0.8774626851081848,0.49479910731315613,0.447336882352829
36,0.8912944793701172,0.5426533818244934,0.35980692505836487,0.8799868822097778,0.5174391269683838,0.41877281665802
37,0.8917668461799622,0.5429067611694336,0.35698357224464417,0.8839117288589478,0.5196536183357239,0.3980671167373657
